N,P,Tp_overall,Speedup_overall,Efficiency_overall,Tp_work,Speedup_work,Efficiency_work
10000,1,0.320637,1.000000,1.000000,0.111712,1.000000,1.000000
10000,2,0.281071,1.140769,0.570384,0.055869,1.999535,0.999768
10000,4,0.228850,1.401079,0.350270,0.031276,3.571812,0.892953
10000,8,0.254028,1.262211,0.157776,0.025293,4.416716,0.552090
10000,16,0.283267,1.131925,0.070745,0.026730,4.179274,0.261205
10000,32,0.253605,1.264317,0.039510,0.024292,4.598716,0.143710
10000,64,0.243164,1.318604,0.020603,0.024518,4.556326,0.071193
10000,128,0.343749,0.932765,0.007287,0.023991,4.656413,0.036378
20000,1,2.356589,1.000000,1.000000,0.440352,1.000000,1.000000
20000,2,1.068295,2.205935,1.102968,0.223297,1.972046,0.986023
20000,4,0.871288,2.704719,0.676180,0.116496,3.779975,0.944994
20000,8,0.940705,2.505131,0.313141,0.103876,4.239208,0.529901
20000,16,0.886423,2.658538,0.166159,0.106217,4.145777,0.259111
20000,32,0.854096,2.759162,0.086224,0.102757,4.285372,0.133918
20000,64,0.747907,3.150912,0.049233,0.101567,4.335581,0.067743
20000,128,0.851210,2.768517,0.021629,0.101324,4.345979,0.033953
30000,1,5.956524,1.000000,1.000000,0.861759,1.000000,1.000000
30000,2,8.613102,0.691565,0.345782,0.490011,1.758652,0.879326
30000,4,1.930480,3.085514,0.771378,0.261066,3.300924,0.825231
30000,8,1.880430,3.167639,0.395955,0.230191,3.743669,0.467959
30000,16,1.937016,3.075103,0.192194,0.231615,3.720653,0.232541
30000,32,1.913115,3.113521,0.097298,0.225731,3.817637,0.119301
30000,64,1.947910,3.057905,0.047780,0.229985,3.747023,0.058547
30000,128,1.601768,3.718718,0.029052,0.232237,3.710688,0.028990
40000,1,11.595714,1.000000,1.000000,1.874477,1.000000,1.000000
40000,2,9.028877,1.284292,0.642146,0.937554,1.999327,0.999664
40000,4,11.037231,1.050600,0.262650,0.469765,3.990244,0.997561
40000,8,7.213936,1.607405,0.200926,0.458945,4.084317,0.510540
40000,16,7.254110,1.598503,0.099906,0.481991,3.889029,0.243064
40000,32,6.833920,1.696788,0.053025,0.413689,4.531126,0.141598
40000,64,9.252527,1.253248,0.019582,0.373329,5.020979,0.078453
40000,128,6.537981,1.773592,0.013856,0.381254,4.916609,0.038411
